,BestMCTS3,Council Of Two,EBot_C,EBot_F,HQL_Plus_BOT,MCTS_MMHVR,MaltheMCTS,NAgent,Sakkirina,SakkirinaSolo,ZMyBot
BestMCTS3,,91.95804195804196,87.15277777777779,86.80555555555556,22.916666666666664,70.6896551724138,95.65972222222221,29.51388888888889,41.84027777777778,38.54166666666667,95.65972222222221
Council Of Two,8.041958041958042,,11.11111111111111,11.805555555555555,5.034722222222222,22.569444444444446,46.50349650349651,63.92857142857142,6.944444444444445,7.570422535211267,48.75
EBot_C,12.847222222222221,88.88888888888889,,54.34027777777778,51.388888888888886,56.423611111111114,87.67361111111111,68.66197183098592,27.992957746478876,27.2887323943662,86.97183098591549
EBot_F,13.194444444444445,88.19444444444444,45.65972222222222,,37.32394366197183,48.78472222222222,83.62676056338029,67.0774647887324,28.87323943661972,21.30281690140845,86.09154929577466
HQL_Plus_BOT,77.08333333333334,94.96527777777779,48.61111111111111,62.676056338028175,,70.3125,85.73943661971832,50.176056338028175,53.52112676056338,52.640845070422536,96.30281690140845
MCTS_MMHVR,29.310344827586203,77.43055555555556,43.57638888888889,51.21527777777778,29.6875,,86.45833333333334,56.59722222222222,31.59722222222222,29.34027777777778,77.25694444444444
MaltheMCTS,4.340277777777778,53.4965034965035,12.32638888888889,16.37323943661972,14.26056338028169,13.541666666666666,,2.464788732394366,2.8169014084507045,2.992957746478873,61.97183098591549
NAgent,70.48611111111111,36.07142857142857,31.338028169014088,32.92253521126761,49.82394366197183,43.40277777777778,97.53521126760563,,40.49295774647887,56.33802816901409,44.190140845070424
Sakkirina,58.15972222222222,93.05555555555556,72.00704225352112,71.12676056338029,46.478873239436616,68.40277777777779,97.1830985915493,59.50704225352113,,42.95774647887324,96.30281690140845
SakkirinaSolo,61.458333333333336,92.42957746478874,72.7112676056338,78.69718309859155,47.359154929577464,70.65972222222221,97.00704225352112,43.66197183098591,57.04225352112676,,95.4225352112676
ZMyBot,4.340277777777778,51.24999999999999,13.028169014084506,13.908450704225354,3.697183098591549,22.743055555555554,38.028169014084504,55.809859154929576,3.697183098591549,4.577464788732395,
