obvious_moves,nonobvious_moves
84,35
105,63
88,45
130,58
120,87
175,84
83,66
147,62
153,62
192,118
163,95
119,56
126,72
123,65
126,75
115,67
118,53
95,43
139,67
133,61
143,74
134,57
143,49
146,63
55,27
68,30
143,117
150,66
182,97
172,86
149,89
144,79
123,76
105,40
117,66
118,59
165,86
161,80
113,58
115,61
116,67
115,47
105,45
93,44
128,67
128,54
113,64
110,53
103,46
78,41
113,40
122,67
79,51
114,54
118,61
138,69
147,64
89,51
129,89
137,63
58,31
123,60
143,95
129,54
100,56
109,60
97,49
171,130
174,88
149,74
99,66
92,53
78,29
158,101
119,77
108,61
182,118
174,114
96,49
87,41
239,129
196,118
68,38
105,64
180,99
168,110
222,122
219,169
170,113
255,205
267,164
116,75
118,64
136,76
275,175
274,161
59,34
148,96
156,107
191,110
168,111
94,48
131,72
175,127
171,99
114,61
230,141
221,132
180,121
183,98
270,180
261,219
119,62
130,70
229,146
211,141
168,95
138,83
101,46
220,118
170,112
109,50
281,187
261,184
127,87
106,61
96,49
229,173
250,150
89,49
130,84
177,106
159,96
88,56
227,153
206,138
84,42
249,136
224,149
89,51
179,116
172,95
121,69
151,93
247,150
224,160
332,264
323,248
61,35
166,127
169,109
180,95
238,160
228,134
174,103
156,96
111,68
120,68
151,98
127,69
114,60
285,192
293,168
100,60
90,47
145,81
144,77
178,96
152,94
98,54
201,120
200,123
104,67
141,88
110,63
133,80
129,75
138,78
37,29
254,155
266,171
127,78
115,71
192,133
174,109
118,63
140,82
104,52
72,36
118,65
187,170
196,119
185,126
184,108
273,156
258,170
60,29
211,128
197,119
115,61
226,121
193,131
119,64
94,45
241,182
228,151
135,83
76,42
63,37
297,171
277,167
119,72
95,49
198,108
170,111
153,94
103,63
82,50
225,148
234,148
144,87
234,157
250,157
209,148
180,106
238,178
250,175
88,46
254,188
277,176
134,81
116,65
122,64
264,161
267,173
263,190
263,160
165,99
152,88
64,34
125,70
130,76
117,54
187,127
195,124
237,168
211,139
82,43
259,148
243,161
269,203
275,178
197,129
192,125
110,52
185,143
186,115
112,54
200,128
189,109
147,93
100,49
215,160
212,120
223,131
202,128
275,215
315,233
302,160
266,178
239,151
197,151
110,63
259,155
268,165
131,98
131,90
134,71
134,72
114,58
156,86
238,142
246,150
92,63
175,108
179,110
239,139
242,164
105,60
110,56
63,30
255,160
239,176
89,53
262,160
249,153
63,30
225,156
222,146
138,80
141,91
304,191
287,199
101,52
153,67
147,85
81,46
145,86
117,81
238,157
238,139
176,128
170,104
259,169
254,156
131,92
129,72
254,145
247,160
107,58
149,93
97,53
115,70
135,80
153,104
156,80
123,91
122,69
114,76
112,58
183,104
133,97
145,104
76,50
117,64
147,86
161,99
155,90
124,63
161,110
148,108
125,74
133,76
197,107
183,107
122,72
95,68
99,54
164,90
151,86
99,62
126,75
117,77
119,93
91,61
91,54
153,102
176,107
174,115
132,62
117,61
147,83
136,87
128,75
106,70
88,35
160,76
152,105
126,83
145,89
138,86
176,114
176,137
131,79
138,71
167,95
174,110
183,99
183,114
89,61
96,61
98,52
88,47
207,117
188,113
162,98
143,111
107,69
108,43
137,76
146,76
146,82
87,44
94,55
81,42
73,47
166,103
154,90
125,79
147,114
162,98
79,39
79,40
