step,R_mean,R_std,V_mean,V_std,KL,entropy,Loss
10,0.199,1.277,0.483,0.296,0.0161,0.1538,0.8524
20,0.965,1.123,0.607,0.408,0.0083,0.1542,0.5569
30,0.448,1.384,0.736,0.376,0.0193,0.1480,1.0118
40,1.217,1.229,0.533,0.452,0.0139,0.1386,0.6395
10,0.473,1.232,0.451,0.527,0.2033,0.1328,0.6216
10,1.014,1.307,0.865,0.697,0.0294,0.1253,0.5909
20,0.830,0.984,0.983,0.698,0.0068,0.1273,0.2566
30,0.057,1.279,0.294,0.751,0.0206,0.1374,0.6150
40,0.176,1.311,0.354,0.752,0.0035,0.1323,0.5950
50,-0.333,1.308,0.157,0.830,0.0086,0.1290,0.7181
60,-0.207,1.188,-0.042,0.579,0.0144,0.1354,0.5574
70,0.197,1.256,0.202,0.620,0.0285,0.1230,0.7441
80,0.551,1.368,0.018,0.703,0.0142,0.1168,0.7578
90,0.233,1.190,0.287,0.773,0.0220,0.1230,0.4506
100,-0.299,1.435,0.006,0.756,0.0058,0.1353,0.6909
110,-0.562,1.159,0.127,0.742,0.0024,0.1259,0.7054
120,-0.715,1.405,-0.669,0.839,0.0038,0.1469,0.4793
130,-0.198,1.246,-0.139,0.741,0.0087,0.1277,0.7464
140,0.011,1.074,-0.214,0.606,0.0040,0.1288,0.6568
150,1.024,1.067,0.527,0.799,0.0050,0.1121,0.3852
160,0.086,1.301,0.353,0.915,0.0063,0.1202,0.3792
170,-0.191,1.144,0.363,0.674,0.0174,0.1216,0.6227
180,0.627,1.372,0.641,0.829,0.0065,0.1159,0.3593
190,-0.134,1.208,-0.006,0.713,0.0126,0.1262,0.6466
200,0.528,1.149,0.641,0.665,0.0058,0.0985,0.3212
210,0.941,1.136,0.560,0.849,0.0244,0.0970,0.3251
220,-0.237,1.265,0.158,0.785,0.1341,0.1036,0.6226
230,0.168,1.392,0.050,0.863,0.0065,0.1159,0.4391
240,-0.515,1.276,-0.461,1.066,0.0036,0.1337,0.3795
250,0.467,1.183,0.406,0.758,0.0292,0.1098,0.4166
260,0.291,1.549,0.103,1.283,0.0068,0.1117,0.2827
270,0.010,1.568,0.032,1.208,0.0125,0.1175,0.3618
280,-0.556,1.447,-0.603,1.057,0.0493,0.1262,0.2676
290,0.342,1.279,0.310,0.832,0.0179,0.1077,0.5154
300,0.219,1.193,0.390,0.735,0.0095,0.1214,0.5872
310,0.027,1.210,0.310,0.596,0.0160,0.1078,0.8312
320,-0.106,1.251,-0.170,0.729,0.0032,0.1212,0.4205
330,0.560,1.251,0.570,0.731,0.0064,0.1089,0.4163
340,-0.166,1.201,0.118,0.786,0.0089,0.1216,0.5498
350,0.791,0.986,0.171,0.764,0.0035,0.1045,0.6534
360,-1.042,1.179,-1.076,0.959,0.0090,0.1498,0.5062
370,0.702,1.131,0.468,0.812,0.0086,0.1054,0.2027
380,-0.032,1.238,-0.051,0.647,0.0122,0.1161,0.6970
390,-0.443,1.369,-0.111,0.936,0.0039,0.1082,0.4491
400,0.023,1.472,0.093,0.775,0.0117,0.1041,0.6775
410,-0.823,0.921,-0.215,0.854,0.0089,0.1144,0.8007
420,0.615,1.289,0.262,0.913,0.0466,0.1107,0.3297
430,0.933,0.996,0.710,0.734,0.0437,0.1024,0.2991
440,-0.191,1.273,0.073,1.019,0.0099,0.1065,0.5194
450,-0.521,1.361,-0.033,0.804,0.0149,0.1207,0.7655
460,-0.401,1.528,-0.258,1.129,0.0129,0.1039,0.6299
470,0.150,1.314,0.010,0.922,0.0287,0.1061,0.3338
480,-0.165,1.401,0.052,0.977,0.0077,0.0968,0.4116
490,0.032,1.222,-0.266,0.847,0.0249,0.1043,0.5746
500,0.374,1.315,-0.136,1.041,0.0253,0.1066,0.5955
510,-0.268,1.361,-0.232,0.861,0.0044,0.1088,0.4605
520,-0.104,1.305,0.277,0.870,0.0152,0.1003,0.4643
530,-0.209,1.491,-0.023,0.916,0.0067,0.1137,0.4134
540,0.544,1.239,0.424,0.886,0.0068,0.1025,0.2373
550,0.446,1.237,0.297,0.895,0.0087,0.1045,0.2886
560,-0.380,1.198,-0.076,0.962,0.0148,0.1104,0.4160
570,-0.156,1.240,0.331,0.844,0.0106,0.0922,0.6016
580,-0.113,1.309,0.242,0.797,0.0083,0.0956,0.6786
590,0.535,1.143,0.513,0.748,0.0098,0.1006,0.3928
600,0.407,1.180,0.465,0.882,0.0165,0.0924,0.1520
