bot,wins,draws,games,losses,eff_wr,eff_wr_pct
SakkirinaSolo,3908,0,5440,1532,0.7183823529411765,71.83823529411765
Sakkirina,3841,0,5440,1599,0.7060661764705882,70.60661764705883
HQL_Plus_BOT,3765,0,5440,1675,0.6920955882352942,69.20955882352942
BestMCTS3,3594,0,5440,1846,0.6606617647058823,66.06617647058823
EBot_C,3048,0,5440,2392,0.5602941176470588,56.029411764705884
EBot_F,2817,0,5440,2623,0.5178308823529412,51.783088235294116
MCTS_MMHVR,2798,0,5440,2642,0.5143382352941176,51.43382352941176
NAgent,2741,0,5440,2699,0.5038602941176471,50.38602941176471
Council Of Two,1244,0,5440,4196,0.2286764705882353,22.86764705882353
ZMyBot,1151,0,5440,4289,0.21158088235294117,21.158088235294116
MaltheMCTS,1013,0,5440,4427,0.18621323529411765,18.621323529411764
